HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Chatbot.
Preenchimento de documentos de solicitação de atos perante o CNPJ,As solicitações de inscrição de primeiro estabelecimento (matriz) serão efetuadas com o preenchimento e envio dos formulários digitais com a utilização do aplicativo Coletor Nacional disponível no Portal REDESIM (www.redesim.gov.br) após aprovação da Consulta Prévia quando necessária e conforme instruções anteriores: a) Ficha cadastral da Pessoa Jurídica - FCPJ; b) Quadro de Sócios e Administradores - QSA preenchido com a qualificação constante da Tabela de Natureza Jurídica e Qualificação dos Integrantes do QSA (Anexo VI da IN RFB 1.863 de 27 de dezembro de 2018); e c) Ficha Específica quando a requerente estiver localizada em unidade federada ou município conveniado.
Acessibilidade,http://receita.economia.gov.br/acessibilidade
Mapa do site,http://receita.economia.gov.br/mapadosite
Portal do Governo Brasileiro,http://brasil.gov.br
Atualize sua Barra de Governo,http://epwg.governoeletronico.gov.br/barra/atualize.html
Receita Federal Ministério da Economia,http://receita.economia.gov.br
Twitter,https://twitter.com/ReceitaFederal
YouTube,http://youtube.com/TVReceitaFederal
Facebook,http://facebook.com/ReceitaFederalOficial
Instagram,http://instagram.com/receita_federal
RSS,http://feeds.feedburner.com/rss-rfb-noticias
Perguntas Frequentes,http://receita.economia.gov.br/sobre/perguntas-frequentes
Contato,http://receita.economia.gov.br/contato
Serviços,http://receita.economia.gov.br/interface/lista-de-servicos
Dados Abertos e Estudos,http://receita.economia.gov.br/dados
Área de Imprensa,http://receita.economia.gov.br/area-imprensa
Onde Encontro,http://receita.economia.gov.br/onde-encontro/
Avisos,http://receita.economia.gov.br/sobre/politica-de-privacidade
English,http://receita.economia.gov.br/information/
Español,http://receita.economia.gov.br/orientacao/tributaria/cadastros/cadastro-de-pessoas-fisicas-cpf/espanhol
Página Inicial,http://receita.economia.gov.br
Orientação,http://receita.economia.gov.br/orientacao
Tributária,http://receita.economia.gov.br/orientacao/tributaria
Cadastros,http://receita.economia.gov.br/orientacao/tributaria/cadastros
Agendamento,http://receita.economia.gov.br/interface/agendamento
Agenda Tributária,http://receita.economia.gov.br/acesso-rapido/agenda-tributaria
Dados Abertos e Estudos,http://receita.economia.gov.br/dados
e-CAC,http://receita.economia.gov.br/interface/atendimento-virtual
Cidadania Fiscal,http://receita.economia.gov.br/educacao-fiscal
Idoso,http://receita.economia.gov.br/idoso
Legislação,http://receita.economia.gov.br/acesso-rapido/legislacao
Processo e Dossiê,http://receita.economia.gov.br/acesso-rapido/processos
Residentes no Exterior,http://receita.economia.gov.br/interface/agendamento/exterior-orientacoes-para-declarantes/
Tributos,http://receita.economia.gov.br/acesso-rapido/tributos
Aduaneira,http://receita.economia.gov.br/orientacao/aduaneira
Tributária,http://receita.economia.gov.br/orientacao/tributaria
Auditoria Fiscal,http://receita.economia.gov.br/orientacao/tributaria/auditoria-fiscal
Certidões e Situação Fiscal,http://receita.economia.gov.br/orientacao/tributaria/certidoes-e-situacao-fiscal
